claude_tier,title,close_date,pub_date,buyer,gsin,unspsc,category,contact_email,notice_url,why_it
Strong fit,Defence Expert Analysis and Assistance (DEAA),2026-07-14T14:00:00,2026-06-19,Department of Public Works and Government Services (PSPC),,"*Management advisory services
*Professional procurement services
*Procurement process as a service
*Financial assistance
*Financial asset management service
*Military services and national defense
*Defense contracts",*SRV,Ron.Dearing@tpsgc-pwgsc.gc.ca,,keywords: application
Strong fit,Market Research Services,2026-07-20T13:00:00,2026-06-09,Export Development Canada - EDC,,,*SRV,solicitations@edc.ca,https://www.merx.com/public/solicitations/3992135470/abstract?language=EN,keywords: platform
Strong fit,Marine Propellers,2026-07-21T17:00:00,2026-06-18,Royal Canadian Mounted Police (RCMP),,*Marine craft systems and subassemblies,*GD,alice.weng@rcmp-grc.gc.ca,,keywords: website
Strong fit,Unsupervised Internet Test(s) – Stream 1 for Assessing Cognitive Abilities,2026-07-21T14:00:00,2026-06-19,Canada Revenue Agency (CRA),,*Personnel recruitment,*SRV,huyquan.do@cra-arc.gc.ca,,"keywords: computer, licensing, platform"
Strong fit,Urinalysis Sample Collection Services,2026-07-22T13:00:00,2026-06-22,Correctional Service of Canada (CSC),,*Rehabilitation services for substance abuse,*SRV,jolaine.amos@csc-scc.gc.ca,,keywords: website
Possible fit,TC - North American Fatigue Management Program,2026-06-25T14:00:00,2026-06-09,Department of Transport (TC),,"*Workplace safety training aids and materials
*Experimental or educational missions",*SRV,diana.daigle-pietsch@tc.gc.ca,,"keywords: digital, information technology, network, platform, website"
Possible fit,2 trailer,2026-06-25T11:59:00,2026-06-10,Department of National Defence (DND),,*Tanker truck and trailer rental service,*SRV,SVCTechContrat-Location@forces.gc.ca,,keywords: platform
Possible fit,Elder Helper Services,2026-06-25T14:00:00,2026-06-10,Correctional Service of Canada (CSC),,*Vocational rehabilitation services,*SRV,danielle.murdoch@csc-scc.gc.ca,,"keywords: network, programming"
Possible fit,"Elder, Elder Helper and Spiritual Care Program Pathfinder Services",2026-06-26T14:00:00,2026-06-11,Correctional Service of Canada (CSC),,*Vocational rehabilitation services,*SRV,lynn-stacy.gracia-jules@csc-scc.gc.ca,,"keywords: network, programming"
Possible fit,ACAN 26-58022 Automated Wafer Defect Inspection System  and ICP Plasma Processing Module,2026-06-29T14:00:00,2026-06-12,National Research Council of Canada (NRC),,*Semiconductor devices,*GD,Katie.Homuth@nrc-cnrc.gc.ca,,"keywords: automation, platform, software"
Possible fit,New Real Property Application Solution Application Development & Database Management Information Technology Services,2026-06-29T14:00:00,2026-06-12,"Department of Foreign Affairs, Trade and Development (GAC)",,*Information Technology Service Delivery,*SRV,Tony.Truong@international.gc.ca,,"keywords: application, business intelligence, database, information technology, systems integration"
Possible fit,ADV -  What We Heard Report,2026-06-30T14:00:00,2026-06-19,Shared Services Canada,*N7030,,*GD,,,keywords: software
Possible fit,NOTICE OF PROPOSED PROCUREMENT - Supply Access Control Hardware for Toronto IHC Project,2026-06-30T15:00:00,2026-06-15,Canada Border Services Agency (CBSA),,"*Security surveillance and detection
*Security or access control systems",*GD,catrina.santiago@cbsa-asfc.gc.ca,,"keywords: automation, network"
Possible fit,Requisition and installation of Walk-in freezer at the London Research and Development Centre,2026-06-30T14:00:00,2026-06-15,Department of Agriculture and Agri-Food (AAFC),,"*Electrical services
*Electrical cable laying service
*Domestic or commercial appliance installation service
*Electrical equipment maintenance and repair service",*CNST,carol.rahal@agr.gc.ca,,keywords: platform
Possible fit,On Site Diagnostic Imaging – Ontario Region,2026-06-30T14:00:00,2026-06-09,Correctional Service of Canada (CSC),,"*Comprehensive health services
*Healthcare provider support persons
*Healthcare provider specialist services
*The diagnosis of factors influencing health status and contact with health services",*SRV,diana.todorova@csc-scc.gc.ca,,keywords: website
Possible fit,Community Residential Facility (CRF) - Thunder Woman Healing Lodge Society,2026-06-30T14:00:00,2026-06-15,Correctional Service of Canada (CSC),,*Vocational rehabilitation services,*SRV,Mbinwi.Ghogomu@csc-scc.gc.ca,,keywords: information technology
Possible fit,"Services of verbatim court reporters, on an ""as-required"" basis, to provide bilingual verbatim court reporting services at public hearings various locations across Canada.",2026-07-08T15:00:00,2026-06-19,Canadian Radio-Television and Telecommunications Commission (CRTC),,*Court reporting services,*SRV,Approvisionnements-Procurements@crtc.gc.ca,,keywords: digital
Possible fit,Small open development multi-copter platforms,2026-07-09T14:00:00,2026-06-09,National Research Council of Canada (NRC),,*Target or reconnaissance drones,*GD,Shawn.Doyle@nrc-cnrc.gc.ca,,"keywords: application, platform"
Possible fit,Change Management Consultant – Level 3,2026-07-10T14:00:00,2026-06-15,Department of Industry (ISED),,*Change management communication and advisory service,*SRV,Jessica.Cadieux@ised-isde.gc.ca,,"keywords: digital, im/it"
Possible fit,Psychiatric Services -Halifax/Dartmouth Parole Offices and Jamieson Community Correctional Centre in the Atlantic region,2026-07-10T14:00:00,2026-06-19,Correctional Service of Canada (CSC),,"*Traditional healthcare services
*Medical doctor specialist services
*Healthcare provider specialist services",*SRV,Sylvie.Gallant@csc-scc.gc.ca,,keywords: website
Possible fit,Pacific Offshore Oceanographic Science Vessel Service,2026-07-13T14:00:00,2026-06-18,Department of Fisheries and Oceans (DFO),,*Research vessel,*SRV,DFO.Tenders-Soumissions.MPO@dfo-mpo.gc.ca,,keywords: platform
Possible fit,Application replacement for the end-of-life IFSMR (Integrated Fire Services Management & Reporting),2026-07-17T14:00:00,2026-06-09,Department of National Defence (DND),,*Computer software licensing rental or leasing service,*SRV,Jean-Philippe.dufault2@forces.gc.ca,,"keywords: application, cloud, dashboard, data migration, information technology"
Possible fit,Sprinkler Head Replacement,2026-07-20T17:00:00,2026-06-15,Correctional Service of Canada (CSC),,*Fire sprinkler heads,*CNST,801bidsubmissions@csc-scc.gc.ca,,keywords: website
Possible fit,W857A-25TR01 - STANDING OFFER - RESPONSIVE MAINTENANCE AND MINOR REPAIRS SERVICES - CFHA TRENTON,2026-07-20T15:36:36,2026-06-11,Department of Public Works and Government Services (PSPC),,"*Asphalt
*Building and Facility Construction and Maintenance Services
*Building and facility maintenance and repair services
*Facility maintenance and repair services
*Landscaping services
*Snow removal services
*Specialized trade construction and maintenance services
*Residential painting service
*Masonry and stonework services
*Terrazzo tile and marble and mosaic services
*Carpentry services
*Floor laying services
*Roofing service
*Concrete installation and repair services
*Cleaning and janitorial services
*Facilities management",*SRV,kristen.bell-lalonde@tpsgc-pwgsc.gc.ca,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110015789?anId=ANONYMOUS,"keywords: network, website"
Possible fit,W857A-26DN01 - STANDING OFFER - RESPONSIVE MAINTENANCE AND MINOR REPAIRS SERVICES - CFHA DUNDURN,2026-07-20T14:00:00,2026-06-18,Department of Public Works and Government Services (PSPC),,"*Building and Facility Construction and Maintenance Services
*Building and facility maintenance and repair services
*Facility maintenance and repair services
*Specialized trade construction and maintenance services
*Heating system maintenance and repair service
*Electrical equipment maintenance and repair service
*Facilities management
*Plumbing or sewer inspection service",*SRV,kristen.bell-lalonde@tpsgc-pwgsc.gc.ca,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110016358?anId=ANONYMOUS,"keywords: network, website"
Possible fit,W3707-25ES01 - STANDING OFFER - RESPONSIVE MAINTENANCE AND MINOR REPAIRS SERVICES - CFHA ESQUIMALT,2026-07-20T14:00:00,2026-06-18,Department of Public Works and Government Services (PSPC),,"*Building and Facility Construction and Maintenance Services
*Building and facility maintenance and repair services
*Facility maintenance and repair services
*Specialized trade construction and maintenance services
*Residential painting service
*Terrazzo tile and marble and mosaic services
*Carpentry services
*Floor laying services
*Roofing service
*Hazardous material decontamination
*Facilities management",*SRV,kristen.bell-lalonde@tpsgc-pwgsc.gc.ca,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110016361?anId=ANONYMOUS,"keywords: network, website"
Possible fit,W3702-25BN01 - STANDING OFFER - RESPONSIVE MAINTENANCE AND MINOR REPAIRS SERVICES - BORDEN,2026-07-20T17:07:15,2026-06-11,Department of Public Works and Government Services (PSPC),,"*Building and Facility Construction and Maintenance Services
*Building and facility maintenance and repair services
*Facility maintenance and repair services
*Specialized trade construction and maintenance services
*Heating system maintenance and repair service
*Residential painting service
*Terrazzo tile and marble and mosaic services
*Carpentry services
*Floor laying services
*Roofing service
*Electrical equipment maintenance and repair service
*Hazardous material decontamination
*Cleaning and janitorial services
*Facilities management
*Plumbing or sewer inspection service",*SRV,kristen.bell-lalonde@tpsgc-pwgsc.gc.ca,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110015804?anId=ANONYMOUS,"keywords: network, website"
Possible fit,W3705-25CX02 - STANDING OFFER - RESPONSIVE MAINTENANCE AND MINOR REPAIRS SERVICES - COMOX,2026-07-20T17:00:28,2026-06-11,Department of Public Works and Government Services (PSPC),,"*Asphalt
*Building and Facility Construction and Maintenance Services
*Building and facility maintenance and repair services
*Facility maintenance and repair services
*Landscaping services
*Snow removal services
*Specialized trade construction and maintenance services
*Concrete installation and repair services
*Facilities management",*SRV,kristen.bell-lalonde@tpsgc-pwgsc.gc.ca,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110015802?anId=ANONYMOUS,"keywords: network, website"
Possible fit,W3710-25GB01 - STANDING OFFER - RESPONSIVE MAINTENANCE AND MINOR REPAIRS SERVICES - GOOSE BAY,2026-07-20T16:54:50,2026-06-11,Department of Public Works and Government Services (PSPC),,"*Asphalt
*Building and Facility Construction and Maintenance Services
*Building and facility maintenance and repair services
*Facility maintenance and repair services
*Landscaping services
*Snow removal services
*Specialized trade construction and maintenance services
*Heating system maintenance and repair service
*Masonry and stonework services
*Concrete installation and repair services
*Facilities management
*Plumbing or sewer inspection service",*SRV,kristen.bell-lalonde@tpsgc-pwgsc.gc.ca,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110015801?anId=ANONYMOUS,"keywords: network, website"
Possible fit,W3712-26HX01 - STANDING OFFER - RESPONSIVE MAINTENANCE AND MINOR REPAIRS SERVICES - CFHA HALIFAX,2026-07-20T16:46:54,2026-06-11,Department of Public Works and Government Services (PSPC),,"*Building and Facility Construction and Maintenance Services
*Building and facility maintenance and repair services
*Facility maintenance and repair services
*Heating system maintenance and repair service
*Residential painting service
*Terrazzo tile and marble and mosaic services
*Carpentry services
*Floor laying services
*Roofing service
*Electrical equipment maintenance and repair service
*Cleaning and janitorial services
*Facilities management
*Plumbing or sewer inspection service",*SRV,kristen.bell-lalonde@tpsgc-pwgsc.gc.ca,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110015800?anId=ANONYMOUS,"keywords: network, website"
Possible fit,W3716-26ML01 - STANDING OFFER - RESPONSIVE MAINTENANCE AND MINOR REPAIRS SERVICES - CFHA MONTREAL,2026-07-20T16:28:09,2026-06-11,Department of Public Works and Government Services (PSPC),,"*Building and Facility Construction and Maintenance Services
*Building and facility maintenance and repair services
*Facility maintenance and repair services
*Specialized trade construction and maintenance services
*Residential painting service
*Terrazzo tile and marble and mosaic services
*Carpentry services
*Floor laying services
*Roofing service
*Hazardous material decontamination
*Cleaning and janitorial services
*Facilities management
*Plumbing or sewer inspection service",*SRV,kristen.bell-lalonde@tpsgc-pwgsc.gc.ca,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110015798?anId=ANONYMOUS,"keywords: network, website"
Possible fit,W3717-26MJ01 - STANDING OFFER - RESPONSIVE MAINTENANCE AND MINOR REPAIRS SERVICES - CFHA MOOSE JAW,2026-07-20T16:20:25,2026-06-11,Department of Public Works and Government Services (PSPC),,"*Asphalt
*Building and Facility Construction and Maintenance Services
*Building and facility maintenance and repair services
*Facility maintenance and repair services
*Landscaping services
*Snow removal services
*Specialized trade construction and maintenance services
*Residential painting service
*Masonry and stonework services
*Terrazzo tile and marble and mosaic services
*Carpentry services
*Floor laying services
*Roofing service
*Concrete installation and repair services
*Hazardous material decontamination
*Cleaning and janitorial services
*Facilities management",*SRV,kristen.bell-lalonde@tpsgc-pwgsc.gc.ca,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110015796?anId=ANONYMOUS,"keywords: network, website"
Possible fit,W857A-25NB01 - STANDING OFFER - RESPONSIVE MAINTENANCE AND MINOR REPAIRS SERVICES - CFHA  NORTH BAY,2026-07-20T16:06:30,2026-06-11,Department of Public Works and Government Services (PSPC),,"*Building and Facility Construction and Maintenance Services
*Building and facility maintenance and repair services
*Facility maintenance and repair services
*Specialized trade construction and maintenance services
*Terrazzo tile and marble and mosaic services
*Carpentry services
*Roofing service
*Electrical equipment maintenance and repair service
*Facilities management",*SRV,kristen.bell-lalonde@tpsgc-pwgsc.gc.ca,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110015792?anId=ANONYMOUS,"keywords: network, website"
Possible fit,W3723-25SD01 - STANDING OFFER - RESPONSIVE MAINTENANCE AND MINOR REPAIRS SERVICES - CFHA SUFFIELD,2026-07-20T15:46:27,2026-06-11,Department of Public Works and Government Services (PSPC),,"*Asphalt
*Building and Facility Construction and Maintenance Services
*Building and facility maintenance and repair services
*Facility maintenance and repair services
*Landscaping services
*Snow removal services
*Specialized trade construction and maintenance services
*Residential painting service
*Masonry and stonework services
*Terrazzo tile and marble and mosaic services
*Carpentry services
*Floor laying services
*Roofing service
*Concrete installation and repair services
*Hazardous material decontamination
*Cleaning and janitorial services
*Facilities management",*SRV,kristen.bell-lalonde@tpsgc-pwgsc.gc.ca,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110015790?anId=ANONYMOUS,"keywords: network, website"
Possible fit,W857A-25WR02 - STANDING OFFER - RESPONSIVE MAINTENANCE AND MINOR REPAIRS SERVICES - CFHA WAINWRIGHT,2026-07-20T15:25:23,2026-06-11,Department of Public Works and Government Services (PSPC),,"*Building and Facility Construction and Maintenance Services
*Building and facility maintenance and repair services
*Facility maintenance and repair services
*Specialized trade construction and maintenance services
*Heating system maintenance and repair service
*Facilities management
*Plumbing or sewer inspection service",*SRV,kristen.bell-lalonde@tpsgc-pwgsc.gc.ca,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110015788?anId=ANONYMOUS,"keywords: network, website"
Possible fit,W857A-25YK01 - STANDING OFFER - RESPONSIVE MAINTENANCE AND MINOR REPAIRS SERVICES - CFHA YELLOWKNIFE,2026-07-20T12:43:20,2026-06-10,Department of Public Works and Government Services (PSPC),,"*Building and Facility Construction and Maintenance Services
*Building and facility maintenance and repair services
*Facility maintenance and repair services
*Heating system maintenance and repair service
*Residential painting service
*Terrazzo tile and marble and mosaic services
*Carpentry services
*Roofing service
*Electrical equipment maintenance and repair service
*Hazardous material decontamination
*Cleaning and janitorial services
*Facilities management
*Plumbing or sewer inspection service",*SRV,kristen.bell-lalonde@tpsgc-pwgsc.gc.ca,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110015593?anId=ANONYMOUS,"keywords: network, website"
Possible fit,Field Support Services (FSS) Ethiopia/Sudan/South Sudan/Pan-Africa,2026-07-21T14:00:00,2026-06-10,"Department of Foreign Affairs, Trade and Development (GAC)",,*Project management,*SRV,claudine.morin@international.gc.ca,,keywords: programming
Possible fit,Enterprise Data Observability and Governance SaaS Solution,2026-07-30T16:00:00,2026-06-19,Farm Credit Canada (FCC),,,*SRV,procurement@fcc-fac.ca,https://www.merx.com/public/solicitations/4003535985/abstract?language=EN,"keywords: cloud, platform, saas, software"
Possible fit (with caveats),Keysight N9030B-513 Signal Analyzer and Software,2026-06-29T14:00:00,2026-06-10,Department of National Defence (DND),,"*Electronic hardware and component parts and accessories
*Electrical and electronic engineering",*GD,Chao.Wang@forces.gc.ca,,"keywords: application, digital, software"
Possible fit (with caveats),"One (1) Engineering Graduate, Level 3 (Senior)",2026-06-29T14:00:00,2026-06-13,Department of National Defence (DND),,*Professional engineering services,*SRV,chantal.leavoy@forces.gc.ca,,keywords: website
Possible fit (with caveats),Microchip 53100A-IR Phase Noise Analyzer,2026-07-04T14:00:00,2026-06-12,National Research Council of Canada (NRC),,*Components for information technology or broadcasting or telecommunications,*GD,MarieJosee.Lachance@nrc-cnrc.gc.ca,,keywords: digital
Possible fit (with caveats),D-DIV-IT-WASTE CONTAINERS AND DRUM CARTRIDGES,2026-07-07T16:00:00,2026-06-09,Royal Canadian Mounted Police (RCMP),,*Office machine accessories,*GD,jaspreet.grewal@rcmp-grc.gc.ca,,keywords: website
Possible fit (with caveats),Oliver Detachment Exterior Security Upgrades,2026-07-08T17:00:00,2026-06-17,Royal Canadian Mounted Police (RCMP),,*Specialized public building construction services,*CNST,Kathleen.Nillas@rcmp-grc.gc.ca,,keywords: website
Possible fit (with caveats),One (1) Intermediate Financial Specialist,2026-07-09T14:00:00,2026-06-10,Department of National Defence (DND),,*Temporary personnel services,*SRV,kelsey.lawrence2@forces.gc.ca,,"keywords: application, computer, informatics, information management, information technology, network"
Possible fit (with caveats),Workstations with Storage and Electrical Outlets,2026-07-15T11:00:00,2026-06-15,Department of National Defence (DND),,"*Furniture
*Desks",*GD,jill.foster@forces.gc.ca,,keywords: website
Possible fit (with caveats),Learning Services in Simulated Environment,2026-07-17T14:00:00,2026-06-22,Department of National Defence (DND),,*Training process as a service,*SRV,procurementcadtc@forces.gc.ca,,"keywords: application, website"
Possible fit (with caveats),CM - Wainwright Range and Training Area Program,2026-07-21T14:00:00,2026-06-10,Defence Construction Canada / Construction de Défense Canada,,,*CNST,sarah.montesano@dcc-cdc.gc.ca,https://www.merx.com/public/solicitations/3952147604/abstract?language=EN,keywords: website
Possible fit (with caveats),MARPAC Formation Safety and Environment – Training Development Services,2026-07-28T14:00:00,2026-06-16,Defence Construction Canada / Construction de Défense Canada,,,*SRV,justin.bennett@dcc-cdc.gc.ca,https://www.merx.com/public/solicitations/3999963705/abstract?language=EN,"keywords: development services, website"
Possible fit (with caveats),Design & Construction of a New Accommodations Buildings at 22 Wing CFB North Bay,2026-07-28T14:00:00,2026-06-18,Defence Construction Canada / Construction de Défense Canada,,,*CNST,justin.bennett@dcc-cdc.gc.ca,https://www.merx.com/public/solicitations/4001461209/abstract?language=EN,keywords: website
Possible fit (with caveats),APN-DESIGN & CONSTRUCTION OF THE SNOW AND ICE CONTROL / HEAVY EQUIPMENT FACILITY,2026-09-19T16:00:00,2026-06-19,Defence Construction Canada - Western Region,,,*CNST,gerry.melake@dcc-cdc.gc.ca,https://www.merx.com/public/solicitations/4003517718/abstract?language=EN,"keywords: application, im/it, information management, information technology, website"
Unlikely,NPP – S5976628 - THS SA – One (1) 13.9 Special Advisor. Temporary Help Services against the Supply Arrangement for the National Capital Region (NCR).,2026-06-24T15:00:00,2026-06-10,Department of National Defence (DND),,*Temporary personnel services,*SRV,CFSGO-GTemporaryHelp-GSFCO-Gdaidetemporaire@forces.gc.ca,,"keywords: computer, information technology"
Unlikely,NPP – S5970670- THS SA – One (1) Special Advisor. Temporary Help Services against the Supply Arrangement for the National Capital Region,2026-06-25T13:00:00,2026-06-11,Department of National Defence (DND),,*Temporary personnel services,*SRV,CFSGO-GTemporaryHelp-GSFCO-Gdaidetemporaire@forces.gc.ca,,keywords: computer
Unlikely,Recruitment Sourcing and Talent Search Platform,2026-06-25T14:00:00,2026-06-18,Office of the Superintendent of Financial Institutions (OSFI),,*Cloud-based software as a service,*SRV,contracting-approvisionnement@osfi-bsif.gc.ca,,"keywords: cloud, platform, saas, software"
Unlikely,Notice of Proposed Procurement (NPP),2026-06-25T14:00:00,2026-06-09,Department of Natural Resources (NRCan),,"*Cartography
*Mapping
*Map production",*SRV,marie-josee.michaud@nrcan-rncan.gc.ca,,keywords: network
Unlikely,NPP – S5974302 - THS SA – One (1) Special Advisor. Temporary Help Services against the Supply Arrangement for the National Capital Region (NCR).,2026-06-26T12:00:00,2026-06-12,Department of National Defence (DND),,*Temporary personnel services,*SRV,CFSGO-GTemporaryHelp-GSFCO-Gdaidetemporaire@forces.gc.ca,,"keywords: computer, information technology"
Unlikely,"Spares, cables and RTU",2026-06-29T14:00:00,2026-06-17,Department of National Defence (DND),,*Communication satellites,*GD,dany.lebel2@forces.gc.ca,,keywords: platform
Unlikely,Zerto Virtual Replication Licenses,2026-06-30T13:00:00,2026-06-15,Export Development Canada - EDC,,,*GD,solicitations@edc.ca,https://www.merx.com/public/solicitations/3998796777/abstract?language=EN,keywords: licensing
Unlikely,Elevator Repair and Inspections,2026-06-30T13:00:00,2026-06-10,Correctional Service of Canada (CSC),,*Elevator maintenance services,*SRV,PRA.RHQContracts-ContratsAR.PRA@csc-scc.gc.ca,,"keywords: programming, software"
Unlikely,Process Mapping and Redesign - Registry Operations,2026-06-30T16:00:00,2026-06-15,Administrative Tribunals Support Service of Canada (ATSSC),,*Business intelligence consulting services,*SRV,marc.fortin@tribunal.gc.ca,,keywords: digital
Unlikely,NPP - A.6 Programmer/Software Developer (Level 3),2026-06-30T14:00:00,2026-06-15,Department of the Environment (ECCC ),,*Information technology IT management services,*SRV,samantha.hatzinikou@ec.gc.ca,,"keywords: developer, software"
Unlikely,TBIPS Project Manager – Level 3,2026-06-30T14:00:00,2026-06-10,Department of Industry (ISED),,*Project management,*SRV,shelley.bailey@ised-isde.gc.ca,,"keywords: digital, im/it, platform"
Unlikely,Lowbed Trailers,2026-07-02T14:00:00,2026-06-17,Department of National Defence (DND),,*Vehicle bodies and trailers,*GD,mylene.faguy@forces.gc.ca,,keywords: cloud
Unlikely,01044-270173 SAS Institute (Canada) Inc. for Agriculture and Agri-Food Canada,2026-07-03T14:06:41,2026-06-19,Department of Public Works and Government Services (PSPC),,"*Software
*Software maintenance and support",*GD,yuwen.zhou@tpsgc-pwgsc.gc.ca,,"keywords: software, software license"
Unlikely,Programmer Analyst,2026-07-06T14:00:00,2026-06-19,Department of Industry (ISED),,*Information technology consultation services,*SRV,heidi.gagne@ised-isde.gc.ca,,"keywords: application, developer"
Unlikely,Technology Architect - Level 2,2026-07-06T14:00:00,2026-06-15,Department of Industry (ISED),,"*Information technology IT management services
*Systems architecture
*Application or technology research and development service",*SRV,Jessica.Cadieux@ised-isde.gc.ca,,"keywords: application, software"
Unlikely,Splunk Cloud Subscription renewal and related services,2026-07-06T11:00:00,2026-06-10,Business Development Bank of Canada,,,"*SRV
*GD",Micheline.WAKIM@bdc.ca,https://www.merx.com/public/solicitations/3993264351/abstract?language=EN,keywords: cloud
Unlikely,PAB Tank 1 Upgrade and Recoating,2026-07-07T13:00:00,2026-06-12,Marine Atlantic,,,*CNST,plewis@marineatlantic.ca,https://www.merx.com/public/solicitations/3996682653/abstract?language=EN,keywords: application
Unlikely,Signal Generator Waveforms,2026-07-07T14:00:00,2026-06-22,Department of Industry (ISED),,*Electronic hardware and component parts and accessories,*GD,veronique.dion@ised-isde.gc.ca,,keywords: digital
Unlikely,Senior Business Analyst Services,2026-07-07T14:00:00,2026-06-22,Public Service Commission (PSC),,"*Information technology consultation services
*Information technology IT management services",*SRV,angela.yang@cfp-psc.ga.ca,,keywords: digital
Unlikely,TBIPS - Stream 6 (Cyber Protection Services),2026-07-07T14:00:00,2026-06-19,Department of Natural Resources (NRCan),,"*Information technology consultation services
*Information technology IT management services",*SRV,bianca.moore@nrcan-rncan.gc.ca,,"keywords: cyber, information technology, it security, platform"
Unlikely,Project Leader/Executive,2026-07-07T17:00:00,2026-06-17,Department of National Defence (DND),,*Professional procurement services,*SRV,Abdulkarem.Fadhel@forces.gc.ca,,"keywords: analytics, business intelligence"
Unlikely,"Remediation, CFD Mountainview - Trenton, Ontario",2026-07-07T14:00:00,2026-06-16,Defence Construction Canada - Ontario Region,,,*CNST,trcontracting@dcc-cdc.gc.ca,https://www.merx.com/public/solicitations/3996756413/abstract?language=EN,keywords: website
Unlikely,PAB MDO Pipeline Upgrades,2026-07-08T13:00:00,2026-06-12,Marine Atlantic,,,*CNST,plewis@marineatlantic.ca,https://www.merx.com/public/solicitations/3996682668/abstract?language=EN,keywords: application
Unlikely,Integrating Sphere,2026-07-09T14:00:00,2026-06-09,National Research Council of Canada (NRC),,*Optical industry machinery and equipment and supplies,*GD,Shawn.Doyle@nrc-cnrc.gc.ca,,keywords: cloud
Unlikely,Black Mental Health,2026-07-10T14:00:00,2026-06-22,Correctional Service of Canada (CSC),,*Vocational rehabilitation services,*SRV,danielle.murdoch@csc-scc.gc.ca,,keywords: programming
